,age_range,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,harass_np,harass_np_exp,haras_np_day,harass_np_place,right_viol,right_viol_year,right_viol_year_count,right_viol_day,right_viol_place,confidence_level_np,one_word,suggestions
55,15 - 39,Rarely,Nigerian Mobile Police,None,Rarely,Nigerian Mobile Police,None,No,None,None,None,Yes,2020,,Thursday,Lagos,4,None,"1) create state policing such that every state controls its police and leave the NIA and others at the federal.
2)Increase the strength of the police by employing more and paying them well
3) introduce tech to aid police investigation also all police should have body camera"
56,15 - 39,Rarely,Nigerian Mobile Police,None,Rarely,Nigerian Mobile Police,None,No,None,None,None,Yes,2021;2020;2019;2018;2017;2016,,Friday,Lagos;Oyo,1,They are terrible,Reform them all
57,15 - 39,Often,Nigerian Mobile Police,None,Often,National Security Organization,Harassment,Yes,2021;2020;2019;2017,Wednesday,Lagos,Yes,2021;2020;2019,,Thursday,Lagos,1,Dissapointed,Evaluation for all police officers before being sent on field
58,15 - 39,Rarely,Nigerian Mobile Police,None,Rarely,Nigerian Mobile Police,None,No,None,None,None,Yes,2020;2019,,Monday,Lagos;Ogun,2,None,None
59,15 - 39,Rarely,Nigerian Mobile Police,None,Rarely,Nigerian Mobile Police,None,No,None,None,None,Yes,2021;2020;2019;2018,,Thursday,Lagos,3,None,Their rate of harrasment for the drivers should reduce
60,15 - 39,Rarely,None,None,Often,Nigerian Mobile Police,I got picked up on my way from work. I wanted to visit my parents just before my NYSC camp. I was told to enter their bus despite telling them i was a journalist. I got held for hours before getting bail.,Yes,2018,Friday,Lagos,Yes,2021;2020;2019;2018;2017,,Thursday,Lagos,1,Traumatic,"A total overhaul of the system. Better pay, qualified personnel and better administration"
61,15 - 39,Rarely,None,None,Rarely,Nigerian Mobile Police,None,No,None,None,None,Yes,2017;2016,,None,None,1,None,None
62,15 - 39,Rarely,None,None,Rarely,None,None,No,None,None,None,No,None,,None,None,3,Not so good,None
63,15 - 39,Rarely,None,None,Rarely,None,None,No,None,None,None,Yes,2020,,None,Lagos,1,Unpleasant ,Education and reorientation 
64,15 - 39,Rarely,None,None,Often,The Nigerian Police,Extortion,Yes,2019,Wednesday,Lagos,Yes,2021,,Monday,Lagos,1,Terrible,A completely new Police system
65,15 - 39,Rarely,Nigerian Mobile Police,I extend pleasantries to them and I got a positive response.,Often,Nigerian Mobile Police,"I was wrongly arrested and harassed.
And even after the error was rectified, no apologies or what so ever…

Other verbal harassment cases.",Yes,2019;2018;2017,Saturday,Rivers,Yes,2021;2020;2019;2018;2017;2016;Several other years behind.,,Saturday,Abia;Akwa Ibom;Bayelsa;Cross River;Imo;Lagos;Ogun;Rivers;Federal Capital Territory (FCT),3,Unfair,"Constant training, awareness campaigns & lectures, Labour benefits outside salaries (an hungry man is an angry man), etc."
66,15 - 39,Rarely,None,None,Rarely,None,None,No,None,None,None,No,None,,None,None,3,Unimpressive,None
67,15 - 39,Rarely,None,None,Often,State Security Service,None,Yes,2020;2018,Friday,Anambra;Lagos;Ondo,Yes,2020;2018,,Friday,Anambra;Lagos;Ondo,2,Poor ,They should be more sympathetic and should not be susceptible to taking bribe
68,15 - 39,Rarely,None,None,Often,Nigerian Mobile Police,Extortion,No,None,None,None,Yes,2019,,Saturday,Kwara,1,I feel unsafe anytime I encounter especially if I'm alone,Better training
69,15 - 39,Rarely,None,None,Often,Nigerian Mobile Police,None,No,None,None,None,Yes,2021;2020;2019;2018;2017;2016,,Thursday,Lagos,4,None,None
70,40 - 69,Rarely,National Security Organization,They just check my papers and allow me to go,Often,Nigerian Mobile Police,They try to extort money through false pretence,Yes,2019;2018;2017,Tuesday,Delta,Yes,2020;2019;2018;2017;2016,,Wednesday,Delta,2,Most times i see them harass innocent citizens,The mobile policemen should be closely monitored and censored when they misbehave
71,15 - 39,Rarely,None,None,Often,Nigerian Mobile Police,I was put behind bars for some hours when I was 13 because our landlord didn't pay refuse disposal fees,Yes,None,Monday,Abia,No,None,,None,Lagos,4,Bad,None for now
72,15 - 39,Rarely,Nigerian Mobile Police,None,Rarely,Nigerian Mobile Police,None,Yes,2018,None,None,No,None,,None,None,2,None,None
73,15 - 39,Often,Nigerian Mobile Police,None,Often,Nigerian Mobile Police,None,Yes,2019,Tuesday,Rivers,Yes,2021;2020;2019;2018;2017,,Tuesday,Rivers,4,Not Fair,None
74,15 - 39,Rarely,None,None,Rarely,None,None,No,None,None,None,No,None,,None,None,5,None,None
75,15 - 39,Rarely,None,None,Often,Nigerian Mobile Police;State Security Service,"Extortion, not heeding calls for help, rudeness because they have guns",No,None,None,None,Yes,2021;2020,,Wednesday,Lagos,1,Dissatisfaction ,They should treat citizens as they would treat their families 
76,15 - 39,Rarely,Normal police,"A policeman gave my brother and I money to fix our flat tire at Nicon junction, Abuja. I have been trying to find him but he is no longer there. It was before the covid19 2020",Often,Normal police,"During the lockdown, they arrested me near Total gas station in kubwa by 7pm when curfew is by 10pm...took me to the station, collected 5 thousand naira from me with lots of other people without telling me what I did wrong.",Yes,2020,Sunday,Federal Capital Territory (FCT),Yes,2020,,None,Federal Capital Territory (FCT),3,Some of them knows their work while most of them are wicked,They should increase their welfare and salary 
77,15 - 39,Often,Nigerian Mobile Police,At their checkpoints mostly at night. Probably because if the nature of my work (I'm a bouncer) the always let me through after introducing myself,Rarely,None,None,No,None,None,None,Yes,2021;2020;2019,,Thursday,Imo;Lagos;Rivers,4,Scary,Creation of State police
78,15 - 39,Rarely,None,None,Always,Nigerian Mobile Police;National Security Organization;State Security Service;National Intelligence Agency;National Drug Law Enforcement Agency,None,No,None,None,None,Yes,2021;2020;2019;2018,,Wednesday,Rivers,1,Poor,The rot is beyond redemption
79,15 - 39,Rarely,Nigerian Mobile Police,None,Rarely,Nigerian Mobile Police,None,Yes,2019,Wednesday,Bayelsa,Yes,2018,,Thursday,Bayelsa,4,None,More training and proper salary scheme
