,age_range,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,harass_np,,harass_np_year,haras_np_day,harass_np_place,right_viol,right_viol_year,,right_viol_day,right_viol_place,confidence_level_np,one_word,suggestions
26,15 - 39,Rarely,Nigerian Mobile Police,,Often,Nigerian Mobile Police,Took a turn without the sign not to turn and they wanted to haul me to their office to pay almost 50 thousand naira while trying to sexually harass me ,Yes,,2020,Saturday,Lagos,Yes,2020,,Saturday,Lagos,2,Disappointing,"Probably reduce the number of agencies currently available now, then with those they can manage, provide them incentives to motivate them not to always want to extort or harass."
26,15 - 39,Rarely,State Security Service,,Often,Nigerian Mobile Police,Took a turn without the sign not to turn and they wanted to haul me to their office to pay almost 50 thousand naira while trying to sexually harass me ,Yes,,2021,Saturday,Lagos,Yes,2021,,Saturday,Lagos,2,Disappointing,"Probably reduce the number of agencies currently available now, then with those they can manage, provide them incentives to motivate them not to always want to extort or harass."
26,15 - 39,Rarely,State Security Service,,Often,Nigerian Mobile Police,Took a turn without the sign not to turn and they wanted to haul me to their office to pay almost 50 thousand naira while trying to sexually harass me ,Yes,,2020,Saturday,Lagos,Yes,2021,,Saturday,Lagos,2,Disappointing,"Probably reduce the number of agencies currently available now, then with those they can manage, provide them incentives to motivate them not to always want to extort or harass."
27,15 - 39,Often,Nigerian Mobile Police,I showed my papers and followed all due regulation,Rarely,Nigerian Mobile Police,"Been stopped at a military checkpoint with my family and been abused by the soldier including insulting the elderly ones in the car, with threat to shoot. A deployed soldier from the northeast.",Yes,,2017,Thursday,Osun,Yes,2021,,Friday,Lagos,4,Corrupt,Better training and Re-orientation and discipline
27,15 - 39,Often,Nigerian Mobile Police,I showed my papers and followed all due regulation,Rarely,Nigerian Mobile Police,"Been stopped at a military checkpoint with my family and been abused by the soldier including insulting the elderly ones in the car, with threat to shoot. A deployed soldier from the northeast.",Yes,,2017,Thursday,Osun,Yes,2020,,Friday,Osun,4,Corrupt,Better training and Re-orientation and discipline
27,15 - 39,Often,Nigerian Mobile Police,I showed my papers and followed all due regulation,Rarely,Nigerian Mobile Police,"Been stopped at a military checkpoint with my family and been abused by the soldier including insulting the elderly ones in the car, with threat to shoot. A deployed soldier from the northeast.",Yes,,2017,Thursday,Osun,Yes,2019,,Friday,Oyo,4,Corrupt,Better training and Re-orientation and discipline
27,15 - 39,Often,Nigerian Mobile Police,I showed my papers and followed all due regulation,Rarely,Nigerian Mobile Police,"Been stopped at a military checkpoint with my family and been abused by the soldier including insulting the elderly ones in the car, with threat to shoot. A deployed soldier from the northeast.",Yes,,2017,Thursday,Osun,Yes,2018,,Friday,Lagos,4,Corrupt,Better training and Re-orientation and discipline
27,15 - 39,Often,Nigerian Mobile Police,I showed my papers and followed all due regulation,Rarely,Nigerian Mobile Police,"Been stopped at a military checkpoint with my family and been abused by the soldier including insulting the elderly ones in the car, with threat to shoot. A deployed soldier from the northeast.",Yes,,2017,Thursday,Osun,Yes,2017,,Friday,Osun,4,Corrupt,Better training and Re-orientation and discipline
27,15 - 39,Often,Nigerian Mobile Police,I showed my papers and followed all due regulation,Rarely,Nigerian Mobile Police,"Been stopped at a military checkpoint with my family and been abused by the soldier including insulting the elderly ones in the car, with threat to shoot. A deployed soldier from the northeast.",Yes,,2017,Thursday,Osun,Yes,2016,,Friday,Oyo,4,Corrupt,Better training and Re-orientation and discipline
28,15 - 39,Rarely,National Drug Law Enforcement Agency,,Often,Nigerian Mobile Police,,No,,,,,Yes,2017,,,Anambra,2,"Discouraging, disgusting  reforms ","Sensitization/Reform of the Nigerian police.
"
28,15 - 39,Rarely,National Drug Law Enforcement Agency,,Often,Nigerian Mobile Police,,No,,,,,Yes,2017,,,Lagos,2,Discouraging disgusting   reforms ,"Sensitization/Reform of the Nigerian police.
"
29,15 - 39,Rarely,,,Rarely,Nigerian Mobile Police,Unlawful checking of phone and extortion. ,Yes,,2017,,Lagos,Yes,2016,,,Lagos,3,Dreadful,Total restructuring 
30,15 - 39,Rarely,Nigerian Civil Defense Corps,"The manner by which they handle protest I witnessed.

Also, there mode of Civil ways of attending to situations",Always,Nigerian Mobile Police,"Extortion and harassment by the Nigerian police force. Majorly on the highways.

While the state security has no respect for the rule of law as we can see in the case of Sunday Ighoho .
",No,,,,,Yes,2021,,Thursday,Delta,1, uncivil and unprofessional  rogue,"Is high time Nigeria Police do away with recruiting unprofessional individuals. I prefer a case where they will only recruit graduates with a minimum of HND or BSC. By this, I believe there will be sanity. Instead of recruiting rogues. 

The old rogue should be given compulsory retirement and new educated and professional should replace them."
30,15 - 39,Rarely,Nigerian Civil Defense Corps,"The manner by which they handle protest I witnessed.

Also, there mode of Civil ways of attending to situations",Always,State Security Service,"Extortion and harassment by the Nigerian police force. Majorly on the highways.

While the state security has no respect for the rule of law as we can see in the case of Sunday Ighoho .
",No,,,,,Yes,2020,,Thursday,Lagos,1, uncivil and unprofessional  rogue,"Is high time Nigeria Police do away with recruiting unprofessional individuals. I prefer a case where they will only recruit graduates with a minimum of HND or BSC. By this, I believe there will be sanity. Instead of recruiting rogues. 

The old rogue should be given compulsory retirement and new educated and professional should replace them."
30,15 - 39,Rarely,Nigerian Civil Defense Corps,"The manner by which they handle protest I witnessed.

Also, there mode of Civil ways of attending to situations",Always,Nigerian Mobile Police,"Extortion and harassment by the Nigerian police force. Majorly on the highways.

While the state security has no respect for the rule of law as we can see in the case of Sunday Ighoho .
",No,,,,,Yes,2019,,Thursday,Ogun,1, uncivil and unprofessional  rogue,"Is high time Nigeria Police do away with recruiting unprofessional individuals. I prefer a case where they will only recruit graduates with a minimum of HND or BSC. By this, I believe there will be sanity. Instead of recruiting rogues. 

The old rogue should be given compulsory retirement and new educated and professional should replace them."
31,15 - 39,Rarely,,,Always,Nigerian Mobile Police,Wrong stop and search ,No,,,,,Yes,2021,,Wednesday,Imo,4,,
31,15 - 39,Rarely,,,Always,Nigerian Mobile Police,Wrong stop and search ,No,,,,,Yes,2020,,Wednesday,Imo,4,,
32,15 - 39,Rarely,,,Rarely,,,No,,,,,No,,,,,2,,
33,15 - 39,Rarely,Nigerian Mobile Police,"Settling of dispute
",Rarely,Nigerian Mobile Police,"No prompt response in terms of emergency
",No,,,,,Yes,2021,,Tuesday,Federal Capital Territory (FCT),7,Trying ,"Routine training and good salary
"
